Title,Author,Narrator,Release Date,Language,Star Rating,Total Rating
Burn Book,Kara Swisher,Kara Swisher,2/27/2024,English,4.5 out of 5 stars,"1,711 ratings"
User Story Mapping,"Jeff Patton, Peter Economy - foreword",Roy McCrerey,1/26/2021,English,4.5 out of 5 stars,137 ratings
The Book,Keith Houston,Dennis Kleinman,4/30/2019,English,4.5 out of 5 stars,25 ratings
Lean UX: Designing Great Products with Agile Teams (Second Edition),"Jeff Gothelf, Josh Seiden",Douglas Martin,2/16/2021,English,4.5 out of 5 stars,72 ratings
"CIA MIND SCIENCE, CODES & CIPHERS",Eric Engle,Virtual Voice,10/17/2024,English,3.5 out of 5 stars,2 ratings
40-Day Social Media Fast,Wendy Speake,Wendy Speake,11/17/2020,English,5 out of 5 stars,66 ratings
The Singularity Is Nearer,Ray Kurzweil,Adam Barr,6/25/2024,English,4.5 out of 5 stars,531 ratings
Average is Over,Tyler Cowen,Andrew Garman,10/2/2013,English,4 out of 5 stars,383 ratings
The Idea Factory,Jon Gertner,Chris Sorensen,4/13/2012,English,4.5 out of 5 stars,"1,052 ratings"
Deep Medicine,Eric Topol,Graham Winton,3/12/2019,English,4.5 out of 5 stars,766 ratings
How to Do Nothing,Jenny Odell,Rebecca Gibel,5/7/2019,English,3.5 out of 5 stars,757 ratings
AI for High School Students,Stephanie Ewing,Virtual Voice,4/24/2025,English,Not rated yet,Not rated yet
CompTIA Security+ & A+,Shawn Walker,Virtual Voice,4/5/2025,English,Not rated yet,Not rated yet
Hackers & Painters,Paul Graham,Mark Sando,3/17/2021,English,4.5 out of 5 stars,89 ratings
Paper,Mark Kurlansky,Andrew Garman,5/10/2016,English,4.5 out of 5 stars,398 ratings
Write Books Using AI,George Sranko,Virtual Voice,4/2/2025,English,Not rated yet,Not rated yet
Managing Humans,Michael Lopp,TJ Johnson,5/27/2020,English,4.5 out of 5 stars,241 ratings
Information Architecture,"Louis Rosenfeld, Peter Morville, Jorge Arango",Theodore O'Brien,3/26/2021,English,4.5 out of 5 stars,31 ratings
LikeWar,"P. W. Singer, Emerson T. Brooking",George Guidall,10/2/2018,English,4.5 out of 5 stars,967 ratings
The Social Media Marketing Blueprint,Mark Hrvatin,Virtual Voice,4/16/2025,English,5 out of 5 stars,1 rating
